,,,,,,,,,,,
00063,Open,20,16,COMPUTER GRAPHICS [H1],H1,-,Theory,Tuesday,12:00 PM,2:00 PM,3119
00063,Open,20,16,COMPUTER GRAPHICS [H1],H1,-,Lab,Sunday,8:00 AM,11:00 AM,3204
00064,Open,20,18,COMPUTER GRAPHICS [H2],H2,-,Theory,Tuesday,12:00 PM,2:00 PM,3119
00064,Open,20,18,COMPUTER GRAPHICS [H2],H2,-,Lab,Sunday,2:00 PM,5:00 PM,3204
00065,Open,40,37,COMPUTER GRAPHICS [I],I,-,Theory,Tuesday,2:00 PM,4:00 PM,3113
00065,Open,40,37,COMPUTER GRAPHICS [I],I,-,Lab,Sunday,2:00 PM,5:00 PM,3204
00066,Open,40,40,COMPUTER NETWORKS [A],A,-,Theory,Wednesday,12:00 PM,2:00 PM,3112
00066,Open,40,40,COMPUTER NETWORKS [A],A,-,Lab,Monday,11:00 AM,2:00 PM,3201
00067,Open,20,20,COMPUTER NETWORKS [B1],B1,-,Theory,Wednesday,8:00 AM,10:00 AM,3112
00067,Open,20,20,COMPUTER NETWORKS [B1],B1,-,Lab,Monday,11:00 AM,2:00 PM,3201
00068,Open,20,20,COMPUTER NETWORKS [B2],B2,-,Lab,Monday,2:00 PM,5:00 PM,3201
00068,Open,20,20,COMPUTER NETWORKS [B2],B2,-,Theory,Wednesday,8:00 AM,10:00 AM,3112
00069,Open,40,40,COMPUTER NETWORKS [C],C,-,Theory,Wednesday,2:00 PM,4:00 PM,3113
00069,Open,40,40,COMPUTER NETWORKS [C],C,-,Lab,Monday,2:00 PM,5:00 PM,3201
00070,Open,40,40,COMPUTER NETWORKS [D],D,-,Theory,Tuesday,2:00 PM,4:00 PM,3114
00070,Open,40,40,COMPUTER NETWORKS [D],D,-,Lab,Sunday,2:00 PM,5:00 PM,3202
00071,Open,20,20,COMPUTER NETWORKS [E1],E1,-,Theory,Tuesday,10:00 AM,12:00 PM,3114
00071,Open,20,20,COMPUTER NETWORKS [E1],E1,-,Lab,Sunday,2:00 PM,5:00 PM,3202
00072,Open,20,20,COMPUTER NETWORKS [E2],E2,-,Theory,Tuesday,10:00 AM,12:00 PM,3114
00072,Open,20,20,COMPUTER NETWORKS [E2],E2,-,Lab,Thursday,8:00 AM,11:00 AM,3201
00073,Open,40,40,COMPUTER NETWORKS [F],F,-,Theory,Tuesday,8:00 AM,10:00 AM,3113
00073,Open,40,40,COMPUTER NETWORKS [F],F,-,Lab,Thursday,8:00 AM,11:00 AM,3201
